Time Stamp,Voltage,Current,Temperature,Capacity
2018-10-26 09:29:00,4.17604,-0.15069,23.97615,-0.00254
2018-10-26 09:30:00,4.17301,-0.15325,23.97615,-0.00507
2018-10-26 09:31:00,4.17014,-0.15069,23.97615,-0.00761
2018-10-26 09:32:00,4.16761,-0.15069,23.76583,-0.01014
2018-10-26 09:33:00,4.16509,-0.15325,23.66067,-0.01268
2018-10-26 09:34:00,4.16273,-0.15325,23.76583,-0.01522
2018-10-26 09:35:00,4.16053,-0.15069,23.76583,-0.01775
2018-10-26 09:36:00,4.15834,-0.15069,23.97615,-0.02029
2018-10-26 09:37:00,4.15632,-0.15069,23.87099,-0.02281
2018-10-26 09:38:00,4.1543,-0.15069,23.76583,-0.02535
2018-10-26 09:39:00,4.15244,-0.15325,23.76583,-0.02787
2018-10-26 09:40:00,4.15042,-0.15325,23.76583,-0.03041
2018-10-26 09:41:00,4.14857,-0.15069,23.87099,-0.03295
2018-10-26 09:42:00,4.14688,-0.15325,23.87099,-0.03548
2018-10-26 09:43:00,4.14503,-0.15069,23.87099,-0.03801
2018-10-26 09:44:00,4.14334,-0.15325,23.87099,-0.04055
2018-10-26 09:45:00,4.14166,-0.15325,23.76583,-0.0431
2018-10-26 09:46:00,4.14014,-0.15325,23.76583,-0.04565
2018-10-26 09:47:00,4.13845,-0.15069,23.87099,-0.04818
2018-10-26 09:48:00,4.13694,-0.15325,23.87099,-0.05072
2018-10-26 09:49:00,4.13542,-0.15325,23.87099,-0.05325
2018-10-26 09:50:00,4.13407,-0.15325,23.87099,-0.05579
2018-10-26 09:51:00,4.13255,-0.15325,23.87099,-0.05832
2018-10-26 09:52:00,4.13121,-0.15069,23.76583,-0.06086
2018-10-26 09:53:00,4.12986,-0.15069,23.87099,-0.06338
2018-10-26 09:54:00,4.12851,-0.15325,23.87099,-0.06591
2018-10-26 09:55:00,4.12716,-0.15325,23.76583,-0.06845
2018-10-26 09:56:00,4.12598,-0.15325,23.66067,-0.07099
2018-10-26 09:57:00,4.1248,-0.15325,23.87099,-0.07352
2018-10-26 09:58:00,4.12362,-0.15069,23.76583,-0.07606
2018-10-26 09:59:00,4.12244,-0.15325,23.76583,-0.07859
2018-10-26 10:00:00,4.12126,-0.15325,23.87099,-0.08112
